;;;
Jumlah Cabang;NO;LOKASI;PELAYANAN LLP
;190;Unit Kolaka;1. Aerodrome Flight Information Services (AFIS)
;191;Unit Sugimanuru;1. Aerodrome Flight Information Services (AFIS)
;192;Unit Morowali;1. Aerodrome Flight Information Services (AFIS)
;193;Unit Bahodopi;1. Aerodrome Flight Information Services (AFIS)
22;194;Cabang  Lombok;1. Approach Control Procedural and Aerodrome Control Services Combined
;195;Cabang Pembantu Bima;1. Aerodrome Control Services
;196;Cabang Pembantu Sumbawa;1. Aerodrome Control Services
;197;Unit Lunyuk, Sumbawa;Exemption
;198;Unit Poto Tano;
23;199;Cabang  Kupang;"1. Aerodrome Control Services
2. Approach Control Procedural"
;200;Cabang Pembantu Ende;1. Aerodrome Control Services
;201;Unit Maumere;1. Aerodrome Control Services
;202;Unit Larantuka;1. Aerodrome Flight Information Services (AFIS)
;203;Unit Rote;1. Aerodrome Flight Information Services (AFIS)
;204;Unit Sabu;1. Aerodrome Flight Information Services (AFIS)
;205;Unit Bajawa;1. Aerodrome Flight Information Services (AFIS)
;206;Unit Lewoleba;1. Aerodrome Flight Information Services (AFIS)
;207;Unit Atambua;1. Aerodrome Flight Information Services (AFIS)
;208;Unit Ruteng;1. Aerodrome Flight Information Services (AFIS)
;209;Unit Alor;1. Aerodrome Flight Information Services (AFIS)
;210;Unit Pantar;1. Aerodrome Flight Information Services (AFIS)
24;211;Cabang  Ambon;"1. Aerodrome Control Services
2. Approach Control Procedural"
;212;Cabang Pembantu Tual, Karel Sadsuitubun;1. Aerodrome Control Services
;213;Unit Dobo;1. Aerodrome Flight Information Services (AFIS)
;214;Unit Saumlaki;1. Aerodrome Flight Information Services (AFIS)
;215;Unit Bandanaira;TIBA EXEMPTION DARURAT
;216;Unit Namrole;1. Aerodrome Flight Information Services (AFIS)
;217;Unit Larat;CTAF
;218;Unit Wahai;CTAF
;219;Unit Amahai;CTAF
;220;Unit Moa;CTAF
;221;Unit Kuffar;CTAF
;222;Unit Namlea;1. Aerodrome Flight Information Services (AFIS)
;223;Unit Kisar;CTAF
25;224;Cabang  Wamena;1. Aerodrome Control Services
;225;Unit Tiom;Exemption
;226;Unit Karubaga;Exemption
;227;Unit Bokondini;Exemption
;228;Unit Nop Goliat Dekai, Yahukimo;1. Aerodrome Flight Information Services (AFIS)
;229;Unit Elelim;Exemption
;230;Unit Anggruk;Exemption
;231;Unit Yalimo;Exemption
;232;Unit Holuwun;Exemption
;233;Unit Mamberamo Tengah;Exemption
;234;Unit Mamit;Exemption
;235;Unit Ninia;Exemption
;236;Unit Pasema;Exemption
;237;Unit Sobaham;Exemption
;238;Unit Silimo;Exemption
;239;Unit Suru-Suru;Exemption
;240;Unit Tolikara;Exemption
;241;Unit Mapnduma, Nduga;Exemption
;242;Unit Mugi, Nduga;Exemption
;243;Unit Paro, Nduga;Exemption
;244;Unit Mamberamo Raya;Exemption
;245;Unit Kenyam, Nduga;Exemption
26;246;Cabang  Nabire;1. Approach Control Procedural and Aerodrome Control Services Combined
;247;Unit Illaga;1. Aerodrome Flight Information Services (AFIS)
;248;Unit Bilorai;1. Aerodrome Flight Information Services (AFIS)
;249;Unit Mulia;1. Aerodrome Flight Information Services (AFIS)
;250;Unit Moanamani;CTAF
;251;Unit Enarotali;1. Aerodrome Flight Information Services (AFIS)
;252;Unit Waghete, Paniai;TIBA EXEMPTION DARURAT
;253;Unit Illu;1. Aerodrome Flight Information Services (AFIS)
;254;Unit Sinak;CTAF
;255;Unit Aboyaga, Nabire;Exemption
;256;Unit Duma;Exemption
;257;Unit Obano, Paniai;Exemption
;258;Unit Obano, Intan Jaya;Exemption
;259;Unit Botawa;Exemption
;260;Unit Beoga, Intan Jaya;Exemption
;261;Unit Bilai, Intan Jaya;Exemption
;262;Unit Puncak Jaya;Exemption
27;263;Cabang  Sorong;"1. Approach Control Procedural
2. Aerodrome Control Services"
;264;Cabang Pembantu Manokwari;1. Approach Control Procedural and Aerodrome Control Services Combined
;265;Unit Babo;TIBA EXEMPTION DARURAT
;266;Unit Bintuni;1. Aerodrome Flight Information Services (AFIS)
;267;Unit Fak Fak;1. Aerodrome Flight Information Services (AFIS)
;268;Unit Kaimana;1. Aerodrome Flight Information Services (AFIS)
;269;Unit Anggi;Exemption
;270;Unit Ayawasi;CTAF
;271;Unit Kambuaya;CTAF
;272;Unit Inanwatan;CTAF
;273;Unit Marinda, Waisai, Raja Ampat;1. Aerodrome Flight Information Services (AFIS)
;274;Unit Teminabuan;1. Aerodrome Flight Information Services (AFIS)
;275;Unit Kebar;CTAF
;276;Unit Merdey, Teluk Bintuni;CTAF
;277;Unit Kabare;Exemption
;278;Unit Wasior;CTAF
;279;Unit Ransiki;Exemption
;280;Unit Werur, Tambrauw, Papua Barat;CTAF
;281;Unit Segun, Sorong;Exemption
28;282;Cabang  Merauke;1. Approach Control Procedural and Aerodrome Control Services Combined
;283;Cabang Pembantu Tanah Merah;1. Aerodrome Control Services
;284;Unit Ewer;1. Aerodrome Flight Information Services (AFIS)
;285;Unit Kepi;1. Aerodrome Flight Information Services (AFIS)
